이름,연도,타율,출루,장타,OPS,경기당득점,경기당안타,경기당2루타,경기당3루타,경기당홈런,경기당루타,경기당타점,경기당도루,경기당볼넷,경기당삼진,경기당병살,경기당희생타
키움,2019,0.282,0.354,0.414,0.768,5.416666666666667,9.756944444444445,1.75,0.2569444444444444,0.7777777777777778,14.354166666666666,5.145833333333333,0.7638888888888888,3.5694444444444446,6.548611111111111,0.8472222222222222,0.25
빙그레,1989,0.276,0.346,0.411,0.757,4.958333333333333,9.341666666666667,1.7333333333333334,0.21666666666666667,0.8083333333333333,13.933333333333334,4.575,1.0166666666666666,3.433333333333333,4.533333333333333,0.6166666666666667,0.5333333333333333
두산,2000,0.289,0.359,0.441,0.8,5.2180451127819545,9.962406015037594,1.5413533834586466,0.15789473684210525,1.1278195488721805,15.203007518796992,4.969924812030075,0.8646616541353384,3.5714285714285716,5.142857142857143,0.9022556390977443,0.3233082706766917
현대,2004,0.275,0.37,0.413,0.783,5.203007518796992,9.270676691729323,1.4285714285714286,0.09774436090225563,1.0075187969924813,13.917293233082706,4.909774436090226,0.7518796992481203,4.56390977443609,6.548872180451128,0.8195488721804511,0.8345864661654135
해태,1991,0.259,0.35,0.418,0.768,4.904761904761905,8.484126984126984,1.3571428571428572,0.23015873015873015,1.1428571428571428,13.73015873015873,4.714285714285714,1.2063492063492063,4.095238095238095,4.666666666666667,0.8095238095238095,0.5873015873015873
넥센,2015,0.298,0.372,0.486,0.858,6.277777777777778,10.5,2.111111111111111,0.1388888888888889,1.4097222222222223,17.118055555555557,5.9375,0.6944444444444444,3.7777777777777777,7.625,0.7777777777777778,0.4236111111111111
두산,2015,0.29,0.37,0.435,0.804,5.604166666666667,9.972222222222221,1.7638888888888888,0.1527777777777778,0.9722222222222222,14.958333333333334,5.347222222222222,0.7708333333333334,3.9375,5.694444444444445,0.9652777777777778,0.5208333333333334
두산,2020,0.293,0.365,0.427,0.792,5.666666666666667,10.25,1.8263888888888888,0.1388888888888889,0.8680555555555556,14.958333333333334,5.388888888888889,0.6111111111111112,3.8333333333333335,5.527777777777778,0.9166666666666666,0.2638888888888889
KIA,2017,0.302,0.37,0.469,0.84,6.291666666666667,10.791666666666666,2.0277777777777777,0.2013888888888889,1.1805555555555556,16.76388888888889,6.027777777777778,0.5277777777777778,3.4652777777777777,6.1875,0.8194444444444444,0.3819444444444444
LG,2022,0.269,0.346,0.396,0.742,4.965277777777778,9.20138888888889,1.4444444444444444,0.22916666666666666,0.8194444444444444,13.5625,4.680555555555555,0.7083333333333334,3.4791666666666665,6.416666666666667,0.7569444444444444,0.3402777777777778
현대,1998,0.27,0.344,0.434,0.778,5.023809523809524,8.912698412698413,1.7142857142857142,0.16666666666666666,1.126984126984127,14.341269841269842,4.658730158730159,1.0634920634920635,3.2777777777777777,6.507936507936508,0.5476190476190477,0.7222222222222222
삼성,1986,0.276,0.345,0.398,0.744,4.398148148148148,9.231481481481481,1.6388888888888888,0.2037037037037037,0.6851851851851852,13.333333333333334,4.092592592592593,1.0185185185185186,3.2777777777777777,4.305555555555555,0.7037037037037037,0.6296296296296297
롯데,1992,0.288,0.366,0.417,0.782,5.261904761904762,9.626984126984127,1.6746031746031746,0.49206349206349204,0.5396825396825397,13.904761904761905,4.912698412698413,1.0317460317460319,3.8333333333333335,4.301587301587301,0.7142857142857143,0.8174603174603174
NC,2015,0.289,0.367,0.455,0.822,5.861111111111111,9.979166666666666,1.9652777777777777,0.19444444444444445,1.1180555555555556,15.6875,5.569444444444445,1.4166666666666667,3.7222222222222223,7.104166666666667,0.7291666666666666,0.4444444444444444
